the_date,census_blockid,state,dma_name,winner,loser,metric_value,mean_val,stddev_val,q1,q3,iqr,z_score,iqr_flag
2025-08-17,131350507533013,,,Verizon FWA,Comcast,5.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,7.158211199485767,HIGH_IQR
2025-08-16,060190026022012,California,"Fresno-Visalia, CA",AT&T,Comcast,5.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,7.0246573249590405,HIGH_IQR
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,T-Mobile FWA,5.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,7.0246573249590405,HIGH_IQR
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Spectrum,5.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,7.0246573249590405,HIGH_IQR
2025-08-16,482299503002019,Texas,"El Paso, TX-NM",AT&T,Spectrum,5.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,7.0246573249590405,HIGH_IQR
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Frontier,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Comcast,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Altice,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,AT&T,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,AT&T,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-08-18,471650209042005,,,AT&T,Comcast,4.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,6.068498275730252,NORMAL
2025-06-19,060855003001049,California,"San Francisco-Oakland-San Jose, CA",T-Mobile FWA,Spectrum,4.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,6.065676408906692,NORMAL
2025-06-19,132950205031063,,,Comcast,AT&T,4.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,6.065676408906692,NORMAL
2025-06-19,270359502042021,Minnesota,"Minneapolis-St. Paul, MN-WI",Emily Cooperative Telephone Company,Comcast,4.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,6.065676408906692,NORMAL
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,Verizon,4.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,6.065676408906692,NORMAL
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Spectrum,4.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,5.744934933327713,NORMAL
2025-08-15,230050027001017,Maine,"Portland-Auburn, ME-NH",GoNetspeed,Spectrum,4.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,5.744934933327713,NORMAL
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Verizon FWA,4.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,5.744934933327713,NORMAL
2025-08-15,171130011083059,,,Pavlov Media,Comcast,4.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,5.744934933327713,NORMAL
2025-08-17,480410017021006,Texas,"Waco-Temple-Bryan, TX",Altice,Comcast,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,480291921001008,Texas,"San Antonio, TX",AT&T,Spectrum,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,060855003001049,California,"San Francisco-Oakland-San Jose, CA",T-Mobile FWA,Comcast,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,060372074001002,California,"Los Angeles, CA-NV",AT&T,Spectrum,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,180950103003022,Indiana,"Indianapolis, IN",Metronet,Comcast,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,AT&T,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Altice,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Verizon FWA,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Cable One,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Frontier,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Hughes,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,480291720093001,,,AT&T,Spectrum,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,480270224023036,,,Brightspeed,Spectrum,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,170318391001085,Illinois,"Chicago, IL-IN",T-Mobile FWA,Comcast,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-17,390410115631001,,,Spectrum,Comcast,4.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,5.547192622817533,NORMAL
2025-08-16,060855010003004,California,"San Francisco-Oakland-San Jose, CA",T-Mobile FWA,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,370810144092009,North Carolina,"Greensboro-High Point-Winston Salem, NC-VA",Lumos,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060190014112007,California,"Fresno-Visalia, CA",AT&T,Comcast,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060190038091005,California,"Fresno-Visalia, CA",AT&T,Comcast,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060372715003003,California,"Los Angeles, CA-NV",Frontier,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060374619021014,California,"Los Angeles, CA-NV",Verizon FWA,AT&T,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060374640005019,California,"Los Angeles, CA-NV",T-Mobile FWA,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,120510001012059,,,Conexon Connect,CenturyLink,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,120310135232006,,,T-Mobile FWA,Comcast,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060710091262001,,,Frontier,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060855003001049,California,"San Francisco-Oakland-San Jose, CA",Verizon FWA,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,060650451254000,,,Frontier,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Frontier,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Verizon FWA,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Altice,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,390490057004010,,,AT&T,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,120710502071003,Florida,"Ft. Myers-Naples, FL",Comcast,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,121050125082000,,,Frontier,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,480270233013008,,,Brightspeed,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,250138011011074,Massachusetts,"Springfield-Holyoke, MA",Verizon FWA,Spectrum,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-16,040130820091008,Arizona,"Phoenix, AZ",CenturyLink,Cox Communications,4.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,5.442177945322508,NORMAL
2025-08-18,260650055022003,Michigan,"Lansing, MI",Comcast,Spectrum,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,240338013102009,Maryland,"Washington, DC-VA-MD-WV-PA",T-Mobile FWA,Shentel,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Verizon,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,170318391001042,Illinois,"Chicago, IL-IN",T-Mobile FWA,Comcast,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,131850113021041,Georgia,"Tallahassee-Thomasville, FL-GA",Metronet,AT&T,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,121030267031025,Florida,"Tampa-St. Petersburg, FL",WOW!,Spectrum,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,121290102071041,,,Verizon FWA,Comcast,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,080010085532030,,,Comcast,CenturyLink,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,060855003001049,California,"San Francisco-Oakland-San Jose, CA",T-Mobile FWA,Comcast,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-08-18,040130610241000,Arizona,"Phoenix, AZ",Verizon FWA,Cox Communications,3.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,4.315369167546886,NORMAL
2025-06-19,060650429032008,California,"Los Angeles, CA-NV",Frontier,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,060670076024000,California,"Sacramento-Stockton-Modesto, CA",Verizon FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,060855003001049,California,"San Francisco-Oakland-San Jose, CA",Verizon FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,482014332022000,Texas,"Houston, TX",T-Mobile FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,060650464011024,California,"Los Angeles, CA-NV",Frontier,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,010730123062004,,,Spectrum,AT&T,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,060372611041004,,,Verizon FWA,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,040138169031023,,,CenturyLink,Cox Communications,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,120110426023002,,,Verizon FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,301110014022075,,,TDS Telecom,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,240317027003002,Maryland,"Washington, DC-VA-MD-WV-PA",Comcast,Verizon,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,245102502061020,Maryland,"Baltimore, MD",AT&T,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,230050023001019,Maine,"Portland-Auburn, ME-NH",Consolidated,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,391650320081011,,,Spectrum,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,370190205163004,,,Atlantic Telephone Cooperative,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,360810171011001,,,Spectrum,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,271410305051013,,,Spectrum,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,250250612021012,,,T-Mobile FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,130630405352002,,,Comcast,AT&T,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,230310280031003,,,Spectrum,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,121050125082000,,,Frontier,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,340258060001000,New Jersey,"New York, NY-NJ-CT-PA",T-Mobile FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,340312641021005,New Jersey,"New York, NY-NJ-CT-PA",T-Mobile FWA,Altice,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,340076011021007,New Jersey,"Philadelphia, PA-NJ-DE",Verizon,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,340099901000001,New Jersey,"Philadelphia, PA-NJ-DE",Comcast,Verizon,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,471570205442000,,,T-Mobile FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,481576721003018,,,Ezee Fiber,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,482012401011013,,,Comcast,AT&T,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,482015414022017,,,Comcast,Consolidated,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,390030139002006,Ohio,"Lima, OH",Brightspeed,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Altice,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,AT&T,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,170318435001000,Illinois,"Chicago, IL-IN",T-Mobile FWA,Comcast,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Spectrum,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
2025-06-19,210670039121002,Kentucky,"Lexington, KY",Metronet,CenturyLink,3.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,4.311864756064817,NORMAL
