segment,metric_type,avg_new_appearances_per_day,median_new_appearances_per_day,max_new_appearances_single_day,avg_pct_new_combinations,avg_pct_new_volume,total_days
mover,win,15506.684523809523,14150.0,42576,60.46708333333334,60.04244047619047,168
mover,loss,15506.684523809523,14150.0,42576,60.46708333333334,56.96821428571428,168
non_mover,win,5496.738095238095,5025.0,12768,55.705178571428576,53.82267857142857,168
non_mover,loss,5496.738095238095,5025.0,12768,55.705178571428576,53.82267857142857,168
