dma,state,total_blocks,unique_blocks_to_suppress,total_suppression_records,retention_rate_pct
"Bangor, ME",Maine,48,30,58,37.5
"Waco-Temple-Bryan, TX",Texas,35,30,76,14.285714285714285
"Ft. Smith-Fayetteville-Springdale-Rogers, AR-OK",Arkansas,35,30,71,14.285714285714285
"Albany-Schenectady-Troy, NY-MA-VT",New York,50,29,61,42.0
"Lincoln & Hastings-Kearney, NE-KS",Nebraska,43,29,59,32.55813953488372
"Johnstown-Altoona-State College, PA",Pennsylvania,46,29,63,36.95652173913043
"Honolulu, HI",Hawaii,41,29,64,29.268292682926827
"Springfield, MO-AR",Missouri,34,29,88,14.705882352941178
"Colorado Springs-Pueblo, CO",Colorado,40,28,72,30.0
"Lansing, MI",Michigan,45,28,72,37.77777777777778
"Odessa-Midland, TX-NM",Texas,33,28,84,15.151515151515152
"Amarillo, TX-NM-OK",Texas,29,27,77,6.896551724137931
"Montgomery-Selma, AL",Alabama,39,27,59,30.76923076923077
"La Crosse-Eau Claire, WI-MN",Wisconsin,38,27,62,28.947368421052634
"Tri-Cities, TN-VA-KY",Tennessee,34,26,68,23.52941176470588
"Greenville-New Bern-Washington, NC",North Carolina,41,26,69,36.58536585365854
"New York, NY-NJ-CT-PA",Connecticut,48,25,59,47.91666666666667
"Savannah, GA-SC",Georgia,31,25,55,19.35483870967742
"Chattanooga, TN-GA-NC",Tennessee,39,24,51,38.46153846153847
"Tucson, AZ",Arizona,38,24,64,36.84210526315789
"Mobile-Pensacola, AL-FL-MS",Florida,38,24,68,36.84210526315789
"Myrtle Beach-Florence, SC-NC",South Carolina,40,24,53,40.0
"Tyler-Longview, TX",Texas,34,23,59,32.35294117647059
"Sioux Falls, SD-MN-IA-NE",South Dakota,32,23,58,28.125
"South Bend-Elkhart, IN-MI",Indiana,35,23,48,34.285714285714285
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",Iowa,30,23,54,23.333333333333332
"Corpus Christi, TX",Texas,35,23,50,34.285714285714285
"Toledo, OH-MI",Ohio,38,23,50,39.473684210526315
"Spokane, WA-ID-MT-OR",Washington,30,22,60,26.666666666666668
"Youngstown, OH-PA",Ohio,31,22,53,29.03225806451613
"Terre Haute, IN-IL",Indiana,27,22,61,18.51851851851852
"Chicago, IL-IN",Indiana,41,22,55,46.34146341463415
"Erie, PA",Pennsylvania,29,21,43,27.586206896551722
"Topeka, KS",Kansas,26,21,49,19.230769230769234
"Baton Rouge, LA-MS",Louisiana,35,21,50,40.0
"Dothan, AL-GA",Alabama,27,21,55,22.22222222222222
"Wilmington, NC",North Carolina,29,21,50,27.586206896551722
"Tri-Cities, TN-VA-KY",Virginia,24,20,46,16.666666666666664
"Rockford, IL",Illinois,26,20,50,23.076923076923077
"Springfield-Holyoke, MA",Massachusetts,31,20,43,35.483870967741936
"Columbia-Jefferson City, MO",Missouri,25,20,57,20.0
