the_date,state,dma_name,winner,loser,current_wins,rolling_avg,rolling_stddev,z_score,pct_increase,is_first_appearance,is_outlier,outlier_reason
2025-03-02,Oregon,"Portland, OR",CenturyLink,Comcast,10.0,1.3333333333333333,0.5773502691896257,15.01110699893027,650.0,False,True,Z-Score > 1.5
2025-03-02,Virginia,"Washington, DC",T-Mobile FWA,Comcast,10.0,1.3333333333333333,0.5773502691896258,15.011106998930266,650.0,False,True,Z-Score > 1.5
2025-03-02,Oregon,"Portland, OR",Comcast,Spectrum,13.0,2.0,1.0,11.0,550.0,False,True,Z-Score > 1.5
2025-03-02,Maryland,"Washington, DC",Verizon,Comcast,13.0,2.0,1.0,11.0,550.0,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Altice,Comcast,18.0,3.3333333333333335,1.5275252316519468,9.601587170383663,439.99999999999994,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Altice,Spectrum,32.0,3.6666666666666665,3.0550504633038935,9.274260335029675,772.7272727272727,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Altice,Verizon,22.0,3.3333333333333335,2.3094010767585034,8.08290376865476,560.0,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Spectrum,Altice,12.0,2.3333333333333335,1.5275252316519468,6.328318816843779,414.2857142857142,False,True,Z-Score > 1.5
2025-03-02,Missouri,"St. Louis, MO",Spectrum,AT&T,12.0,3.3333333333333335,1.5275252316519468,5.673665146135801,259.99999999999994,False,True,Z-Score > 1.5
2025-03-02,Massachusetts,"Boston, MA",Comcast,Verizon,10.0,1.6666666666666667,1.5275252316519468,5.455447255899809,500.0,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Verizon,Altice,18.0,3.6666666666666665,3.7859388972001824,3.7859388972001824,390.90909090909093,False,True,Z-Score > 1.5
2025-03-02,Pennsylvania,"Philadelphia, PA",Comcast,Verizon,10.0,3.0,2.0,3.5,233.33333333333334,False,True,Z-Score > 1.5
2025-03-02,Pennsylvania,"Philadelphia, PA",T-Mobile FWA,Comcast,15.0,3.6666666666666665,3.511884584284246,3.227137185558497,309.0909090909091,False,True,Z-Score > 1.5
2025-03-02,Massachusetts,"Boston, MA",Comcast,Spectrum,11.0,3.6666666666666665,2.3094010767585034,3.1754264805429417,200.00000000000006,False,True,Z-Score > 1.5
2025-03-02,Illinois,"Chicago, IL",Comcast,AT&T,18.0,5.0,4.358898943540674,2.9824045403173027,260.0,False,True,Z-Score > 1.5
2025-03-02,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,17.0,3.6666666666666665,4.725815626252609,2.821382463434393,363.6363636363637,False,True,Z-Score > 1.5
2025-03-02,New York,"New York, NY",Altice,T-Mobile FWA,11.0,2.3333333333333335,3.2145502536643185,2.6960744062991053,371.4285714285714,False,True,Z-Score > 1.5
