the_date,winner,loser,dma_name,day_of_week,total_wins,avg_wins,stddev_wins,n_periods,zscore
2025-06-01,Altice,Comcast,"New York, NY",0,3.0,21.5,4.949747468305833,2,-3.7375644148431797
2025-06-01,Cincinnati Bell,Comcast,"Cincinnati, OH",0,0.0,4.0,1.4142135623730951,2,-2.82842712474619
2025-06-01,Comcast,Verizon,"Philadelphia, PA",0,2.0,22.0,1.4142135623730951,2,-14.14213562373095
2025-06-01,Comcast,AT&T,"Philadelphia, PA",0,0.0,5.5,2.1213203435596424,2,-2.5927248643506746
2025-06-01,Comcast,Verizon FWA,"Philadelphia, PA",0,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-01,Comcast,Spectrum,"New York, NY",0,12.0,0.5,0.7071067811865476,2,16.263455967290593
2025-06-01,Comcast,T-Mobile FWA,"Philadelphia, PA",0,10.0,4.5,2.1213203435596424,2,2.5927248643506746
2025-06-01,Comcast,T-Mobile FWA,"Washington, DC",0,9.0,1.6666666666666667,0.5773502691896257,3,12.701705922171767
2025-06-01,Frontier,Comcast,"New York, NY",0,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-01,T-Mobile FWA,Comcast,"New York, NY",0,0.0,14.0,4.242640687119285,2,-3.299831645537222
2025-06-01,T-Mobile FWA,Comcast,"Washington, DC",0,1.0,7.333333333333333,0.5773502691896257,3,-10.96965511460289
2025-06-01,Verizon,Comcast,"Philadelphia, PA",0,24.0,7.5,4.949747468305833,2,3.3335033970222954
2025-06-01,Verizon,Spectrum,"Washington, DC",0,11.0,2.5,2.1213203435596424,2,4.00693842672377
2025-06-01,Verizon,Spectrum,"New York, NY",0,35.0,3.5,4.949747468305833,2,6.363961030678928
2025-06-01,Verizon FWA,Comcast,"Philadelphia, PA",0,6.0,3.5,0.7071067811865476,2,3.5355339059327373
2025-06-02,Altice,T-Mobile FWA,"New York, NY",1,12.0,2.0,1.4142135623730951,2,7.071067811865475
2025-06-02,Altice,Spectrum,"New York, NY",1,33.0,6.0,5.656854249492381,2,4.772970773009195
2025-06-02,Comcast,T-Mobile FWA,"Philadelphia, PA",1,0.0,3.5,0.7071067811865476,2,-4.949747468305833
2025-06-02,Comcast,Spectrum,"Philadelphia, PA",1,2.0,7.5,2.1213203435596424,2,-2.5927248643506746
2025-06-02,T-Mobile FWA,Comcast,"New York, NY",1,7.0,2.0,1.4142135623730951,2,3.5355339059327373
2025-06-02,T-Mobile FWA,Comcast,"Washington, DC",1,1.0,6.5,2.1213203435596424,2,-2.5927248643506746
2025-06-02,T-Mobile FWA,Spectrum,"New York, NY",1,2.0,5.5,0.7071067811865476,2,-4.949747468305833
2025-06-03,Comcast,AT&T,"Washington, DC",2,0.0,1.6666666666666667,0.5773502691896257,3,-2.886751345948129
2025-06-03,Comcast,Spectrum,"Philadelphia, PA",2,2.0,6.5,0.7071067811865476,2,-6.363961030678928
2025-06-03,Spectrum,Comcast,"New York, NY",2,18.0,1.0,1.4142135623730951,2,12.020815280171307
2025-06-03,T-Mobile FWA,Spectrum,"New York, NY",2,9.0,2.0,1.4142135623730951,2,4.949747468305833
2025-06-04,Altice,AT&T,"New York, NY",3,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-04,Altice,Comcast,"New York, NY",3,4.0,18.5,0.7071067811865476,2,-20.506096654409877
2025-06-04,Verizon,T-Mobile FWA,"Washington, DC",3,5.0,1.0,1.4142135623730951,2,2.82842712474619
2025-06-04,Verizon,Spectrum,"Philadelphia, PA",3,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-05,Altice,Verizon,"New York, NY",4,39.0,6.5,7.7781745930520225,2,4.178358252465963
2025-06-05,Altice,AT&T,"New York, NY",4,4.0,6.5,0.7071067811865476,2,-3.5355339059327373
2025-06-05,Comcast,T-Mobile FWA,"Washington, DC",4,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-05,Comcast,AT&T,"Washington, DC",4,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-05,T-Mobile FWA,Altice,"New York, NY",4,0.0,9.5,0.7071067811865476,2,-13.435028842544401
2025-06-05,T-Mobile FWA,Comcast,"Memphis, TN",4,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-05,Verizon,Comcast,"Washington, DC",4,1.0,15.5,2.1213203435596424,2,-6.83536555146996
2025-06-05,Verizon,Spectrum,"Washington, DC",4,7.0,1.5,2.1213203435596424,2,2.5927248643506746
2025-06-06,Altice,Verizon,"New York, NY",5,1.0,19.0,2.8284271247461903,2,-6.363961030678928
2025-06-06,Altice,T-Mobile FWA,"New York, NY",5,1.0,3.5,0.7071067811865476,2,-3.5355339059327373
2025-06-06,Altice,Spectrum,"New York, NY",5,25.0,6.5,4.949747468305833,2,3.7375644148431797
2025-06-06,Altice,Hotwire Fision,"New York, NY",5,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-06,Comcast,Verizon,"Washington, DC",5,7.0,3.5,0.7071067811865476,2,4.949747468305833
2025-06-06,Comcast,Verizon,"Washington, DC",5,12.0,4.666666666666667,2.0816659994661326,3,3.522819383711917
2025-06-06,Comcast,Spectrum,"Washington, DC",5,3.0,7.0,1.4142135623730951,2,-2.82842712474619
2025-06-06,Comcast,Verizon,"Philadelphia, PA",5,4.0,14.0,1.4142135623730951,2,-7.071067811865475
2025-06-06,T-Mobile FWA,Verizon,"Philadelphia, PA",5,5.0,2.5,0.7071067811865476,2,3.5355339059327373
2025-06-06,T-Mobile FWA,Comcast,"Washington, DC",5,11.0,2.6666666666666665,1.5275252316519468,3,5.455447255899809
2025-06-06,Verizon,Comcast,"Philadelphia, PA",5,17.0,7.0,2.8284271247461903,2,3.5355339059327373
2025-06-07,Altice,T-Mobile FWA,"New York, NY",6,13.0,2.0,1.4142135623730951,2,7.7781745930520225
2025-06-07,Comcast,Verizon,"Philadelphia, PA",6,22.0,15.0,1.4142135623730951,2,4.949747468305833
2025-06-07,Comcast,Spectrum,"New York, NY",6,18.0,2.5,2.1213203435596424,2,7.306770072260992
2025-06-07,Comcast,Frontier,"Washington, DC",6,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-07,Comcast,AT&T,"Memphis, TN",6,18.0,0.5,0.7071067811865476,2,24.74873734152916
2025-06-07,Spectrum,Verizon FWA,"Cincinnati, OH",6,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-07,T-Mobile FWA,Comcast,"Philadelphia, PA",6,18.0,5.5,3.5355339059327378,2,3.5355339059327373
2025-06-07,Verizon,T-Mobile FWA,"Philadelphia, PA",6,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-07,Verizon,Spectrum,"New York, NY",6,33.0,6.0,7.0710678118654755,2,3.8183766184073566
2025-06-07,Verizon,Comcast,"Philadelphia, PA",6,44.0,13.0,9.899494936611665,2,3.1314728881118534
2025-06-07,Verizon FWA,Comcast,"New York, NY",6,11.0,2.5,0.7071067811865476,2,12.020815280171307
2025-06-07,Verizon FWA,Spectrum,"Cincinnati, OH",6,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-08,AT&T,Comcast,"New Orleans, LA",0,6.0,1.0,1.4142135623730951,2,3.5355339059327373
2025-06-08,AT&T,Google Fiber,"Kansas City, MO",0,1.0,2.6666666666666665,0.5773502691896257,3,-2.8867513459481287
2025-06-08,AT&T,Comcast,"Louisville, KY",0,6.0,2.0,1.4142135623730951,2,2.82842712474619
2025-06-08,AT&T,Comcast,"Memphis, TN",0,1.0,8.5,2.1213203435596424,2,-3.5355339059327378
2025-06-08,AT&T,Comcast,"Knoxville, TN",0,8.0,1.0,1.4142135623730951,2,4.949747468305833
2025-06-08,Altice,Verizon FWA,"New York, NY",0,3.0,0.5,0.5773502691896257,4,4.330127018922194
2025-06-08,Altice,T-Mobile FWA,"New York, NY",0,1.0,6.666666666666667,2.081665999466133,3,-2.722178614686481
2025-06-08,Astound Broadband,Comcast,"Washington, DC",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Comcast,AT&T,"Savannah, GA",0,1.0,4.5,0.7071067811865476,2,-4.949747468305833
2025-06-08,Comcast,Altice,"Chicago, IL",0,4.0,1.0,1.0,3,3.0
2025-06-08,Comcast,AT&T,"Memphis, TN",0,18.0,3.5,3.1091263510296048,4,4.663689526544408
2025-06-08,Comcast,AT&T,"Augusta, GA-Aiken, SC",0,0.0,1.6666666666666667,0.5773502691896258,3,-2.8867513459481287
2025-06-08,Comcast,CenturyLink,"Boston, MA",0,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-08,Comcast,T-Mobile FWA,"Memphis, TN",0,12.0,2.25,3.2015621187164243,4,3.0453883568278184
2025-06-08,Comcast,T-Mobile FWA,"Portland, OR",0,7.0,3.0,1.4142135623730951,2,2.82842712474619
2025-06-08,Comcast,Spectrum,"South Bend-Elkhart, IN",0,6.0,1.5,0.7071067811865476,2,6.363961030678928
2025-06-08,Comcast,Cox Communications,"Portland, OR",0,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Comcast,Verizon FWA,"Boston, MA",0,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Comcast,Spectrum,"Pittsburgh, PA",0,15.0,3.0,4.358898943540674,3,2.7529888064467407
2025-06-08,Comcast,Frontier,"Boston, MA",0,0.0,3.0,1.0,3,-3.0
2025-06-08,Comcast,Cable One,"Jacksonville, FL",0,2.0,0.3333333333333333,0.5773502691896258,3,2.8867513459481287
2025-06-08,Comcast,Brightspeed,"Tri-Cities, TN-VA",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Consolidated,Spectrum,"Burlington, VT-Plattsburgh, NY",0,10.0,2.3333333333333335,1.5275252316519468,3,5.019011475427824
2025-06-08,Cox Communications,Allo Communications,"Omaha, NE",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Frontier,Altice,"New York, NY",0,1.0,6.0,1.4142135623730951,2,-3.5355339059327373
2025-06-08,Google Fiber,Spectrum,"Kansas City, MO",0,22.0,6.0,4.58257569495584,3,3.4914862437758782
2025-06-08,Spectrum,AT&T,"Reno, NV",0,7.0,2.0,1.4142135623730951,2,3.5355339059327373
2025-06-08,Spectrum,Comcast,"Burlington, VT-Plattsburgh, NY",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Spectrum,Comcast,"St. Louis, MO",0,9.0,4.0,1.0,3,5.0
2025-06-08,Spectrum,Cox Communications,"Reno, NV",0,1.0,2.6666666666666665,0.5773502691896258,3,-2.886751345948128
2025-06-08,Spectrum,T-Mobile FWA,"Albany-Schenectady-Troy, NY",0,2.0,0.3333333333333333,0.5773502691896258,3,2.8867513459481287
2025-06-08,Spectrum,T-Mobile FWA,"Louisville, KY",0,6.0,1.0,1.0,3,5.0
2025-06-08,Spectrum,Comcast,"Louisville, KY",0,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Spectrum,Verizon FWA,"Albany-Schenectady-Troy, NY",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Spectrum,Comcast,"Evansville, IN",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Spectrum,AT&T,"Louisville, KY",0,13.0,3.5,3.5355339059327378,2,2.6870057685088806
2025-06-08,Starlink,Spectrum,"Chicago, IL",0,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-08,T-Mobile FWA,AT&T,"Memphis, TN",0,5.0,0.6666666666666666,0.5773502691896258,3,7.505553499465133
2025-06-08,T-Mobile FWA,Comcast,"Kansas City, MO",0,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-08,T-Mobile FWA,Verizon,"Washington, DC",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,T-Mobile FWA,Spectrum,"Nashville, TN",0,5.0,1.6666666666666667,1.1547005383792517,3,2.886751345948128
2025-06-08,T-Mobile FWA,Comcast,"Mobile, AL-Pensacola, FL",0,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-08,T-Mobile FWA,Verizon,"New York, NY",0,1.0,6.5,2.1213203435596424,2,-2.5927248643506746
2025-06-08,T-Mobile FWA,Spectrum,"Boston, MA",0,1.0,5.0,1.4142135623730951,2,-2.82842712474619
2025-06-08,TDS Telecom,Comcast,"Spokane, WA",0,6.0,1.3333333333333333,1.5275252316519468,3,3.0550504633038935
2025-06-08,Verizon,Verizon FWA,"Washington, DC",0,5.0,0.6666666666666666,0.5773502691896258,3,7.505553499465133
2025-06-08,Verizon,Altice,"Washington, DC",0,4.0,0.5,0.7071067811865476,2,4.949747468305833
2025-06-08,Verizon FWA,Comcast,"New York, NY",0,11.0,3.5,1.7320508075688772,4,4.330127018922194
2025-06-08,Verizon FWA,Comcast,"Boston, MA",0,7.0,2.5,0.7071067811865476,2,6.363961030678928
2025-06-08,Verizon FWA,Altice,"New York, NY",0,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Verizon FWA,T-Mobile FWA,"Philadelphia, PA",0,2.0,0.3333333333333333,0.5773502691896258,3,2.8867513459481287
2025-06-08,Verizon FWA,Spectrum,"Minneapolis-St. Paul, MN",0,0.0,4.5,0.7071067811865476,2,-6.363961030678928
2025-06-08,Verizon FWA,Spectrum,"Myrtle Beach-Florence, SC",0,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-08,Verizon FWA,Spectrum,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",0,7.0,1.0,1.4142135623730951,2,4.242640687119285
2025-06-08,Windstream,Comcast,"Jacksonville, FL",0,2.0,0.3333333333333333,0.5773502691896258,3,2.8867513459481287
2025-06-09,AT&T,Spectrum,"Nashville, TN",1,0.0,4.5,0.7071067811865476,2,-6.363961030678928
2025-06-09,AT&T,Spectrum,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",1,10.0,2.0,2.70801280154532,4,2.9541957835039856
2025-06-09,AT&T,Spectrum,"Charlotte, NC",1,1.0,12.0,4.242640687119285,2,-2.5927248643506746
2025-06-09,Astound Broadband,Comcast,"Chicago, IL",1,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-09,Cable One,CenturyLink,"Boise, ID",1,0.0,3.5,0.7071067811865476,2,-4.949747468305833
2025-06-09,Comcast,Spectrum,"Pittsburgh, PA",1,6.0,0.6666666666666666,0.5773502691896258,3,9.23760430703401
2025-06-09,Comcast,AT&T,"New York, NY",1,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-09,Comcast,Consolidated,"Boston, MA",1,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-09,Comcast,Consolidated,"Boston, MA",1,8.0,1.6666666666666667,1.5275252316519465,3,4.1461399144838555
2025-06-09,Comcast,T-Mobile FWA,"Memphis, TN",1,4.0,0.75,0.9574271077563381,4,3.3945142911361077
2025-06-09,Comcast,T-Mobile FWA,"Pittsburgh, PA",1,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-09,Comcast,Ziply Fiber,"Portland, OR",1,3.0,1.3333333333333333,0.5773502691896257,3,2.886751345948129
2025-06-09,Comcast,Spectrum,"Salisbury, MD",1,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-09,Comcast,AT&T,"Boston, MA",1,8.0,2.0,1.4142135623730951,2,4.242640687119285
2025-06-09,Comcast,T-Mobile FWA,"Washington, DC",1,6.0,1.0,1.0,5,5.0
2025-06-09,Comcast,AT&T,"Memphis, TN",1,11.0,1.6,2.5099800796022262,5,3.7450496425811006
2025-06-09,Comcast,Frontier,"Chicago, IL",1,6.0,1.6666666666666667,0.5773502691896257,3,7.505553499465135
2025-06-09,Comcast,Spectrum,"Washington, DC",1,7.0,2.25,1.707825127659933,4,2.7813152079033197
2025-06-09,Comcast,T-Mobile FWA,"Boston, MA",1,8.0,2.5,0.7071067811865476,2,7.7781745930520225
2025-06-09,Comcast,AT&T,"Washington, DC",1,4.0,0.5,0.5773502691896257,4,6.062177826491071
2025-06-09,Consolidated,Comcast,"Burlington, VT-Plattsburgh, NY",1,7.0,2.0,1.4142135623730951,2,3.5355339059327373
2025-06-09,Consolidated,Spectrum,"Burlington, VT-Plattsburgh, NY",1,4.0,0.5,0.7071067811865476,2,4.949747468305833
2025-06-09,Cox Communications,Comcast,"Providence, RI-New Bedford, MA",1,0.0,4.5,0.7071067811865476,2,-6.363961030678928
2025-06-09,Google Fiber,AT&T,"Kansas City, MO",1,7.0,2.5,0.7071067811865476,2,6.363961030678928
2025-06-09,Google Fiber,Spectrum,"Kansas City, MO",1,2.0,7.5,2.1213203435596424,2,-2.5927248643506746
2025-06-09,Spectrum,Comcast,"Cincinnati, OH",1,10.0,3.5,0.7071067811865476,2,9.192388155425117
2025-06-09,Spectrum,T-Mobile FWA,"Charlotte, NC",1,11.0,1.3333333333333333,2.3094010767585034,3,4.185789451624786
2025-06-09,Spectrum,T-Mobile FWA,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",1,0.0,2.3333333333333335,0.5773502691896257,3,-4.041451884327381
2025-06-09,Spectrum,Verizon FWA,"Cincinnati, OH",1,0.0,1.5,0.5773502691896257,4,-2.598076211353316
2025-06-09,Spectrum,Verizon,"Norfolk-Portsmouth-Newport News, VA",1,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-09,Spectrum,Google Fiber,"Charlotte, NC",1,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-09,Spectrum,Comcast,"Reno, NV",1,6.0,1.5,0.7071067811865476,2,6.363961030678928
2025-06-09,T-Mobile FWA,Comcast,"Jacksonville, FL",1,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-09,T-Mobile FWA,Cox Communications,"Norfolk-Portsmouth-Newport News, VA",1,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-09,T-Mobile FWA,Verizon,"New York, NY",1,7.0,1.3333333333333333,1.5275252316519468,3,3.7097041340118704
2025-06-09,T-Mobile FWA,Spectrum,"Columbus, GA",1,3.0,0.6666666666666666,0.5773502691896258,3,4.04145188432738
2025-06-09,T-Mobile FWA,Spectrum,"Charlotte, NC",1,1.0,8.5,0.7071067811865476,2,-10.606601717798211
2025-06-09,T-Mobile FWA,Comcast,"Tallahassee, FL-Thomasville, GA",1,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-09,T-Mobile FWA,Spectrum,"Washington, DC",1,1.0,2.6666666666666665,0.5773502691896258,3,-2.886751345948128
2025-06-09,T-Mobile FWA,Spectrum,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",1,10.0,2.5,2.1213203435596424,2,3.5355339059327378
2025-06-09,T-Mobile FWA,Spectrum,"New York, NY",1,13.0,4.333333333333333,2.0816659994661326,3,4.163331998932266
2025-06-09,T-Mobile FWA,Spectrum,"Boston, MA",1,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-09,Verizon,T-Mobile FWA,"Washington, DC",1,2.0,0.25,0.5,4,3.5
2025-06-09,Verizon,Comcast,"Providence, RI-New Bedford, MA",1,1.0,2.6666666666666665,0.5773502691896257,3,-2.8867513459481287
2025-06-09,Verizon,T-Mobile FWA,"Philadelphia, PA",1,0.0,1.5,0.5773502691896257,4,-2.598076211353316
2025-06-09,Ziply Fiber,Comcast,"Portland, OR",1,0.0,5.5,0.7071067811865476,2,-7.7781745930520225
2025-06-10,AT&T,Comcast,"St. Louis, MO",2,4.0,0.5,0.7071067811865476,2,4.949747468305833
2025-06-10,AT&T,T-Mobile FWA,"Kansas City, MO",2,0.0,1.6666666666666667,0.5773502691896258,3,-2.8867513459481287
2025-06-10,AT&T,Comcast,"Mobile, AL-Pensacola, FL",2,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-10,AT&T,Comcast,"Mobile, AL-Pensacola, FL",2,7.0,1.6666666666666667,1.5275252316519465,3,3.4914862437758782
2025-06-10,Altice,Spectrum,"New York, NY",2,25.0,7.6,6.58027355054484,5,2.644266969503007
2025-06-10,Altice,Verizon FWA,"New York, NY",2,3.0,0.5,0.5773502691896257,4,4.330127018922194
2025-06-10,Altice,Service Electric,"New York, NY",2,3.0,0.75,0.5,4,4.5
2025-06-10,Cable One,Spectrum,"Savannah, GA",2,4.0,0.5,0.7071067811865476,2,4.949747468305833
2025-06-10,Cincinnati Bell,Comcast,"Cincinnati, OH",2,7.0,1.5,0.7071067811865476,2,7.7781745930520225
2025-06-10,Comcast,Spectrum,"Kansas City, MO",2,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-10,Comcast,Verizon FWA,"Philadelphia, PA",2,0.0,1.5,0.5773502691896257,4,-2.598076211353316
2025-06-10,Comcast,Spectrum,"Salisbury, MD",2,6.0,1.5,0.7071067811865476,2,6.363961030678928
2025-06-10,Comcast,AT&T,"Washington, DC",2,4.0,1.2,0.8366600265340756,5,3.346640106136302
2025-06-10,Comcast,AT&T,"Nashville, TN",2,0.0,8.5,2.1213203435596424,2,-4.00693842672377
2025-06-10,Comcast,Spectrum,"Philadelphia, PA",2,13.0,5.0,2.6457513110645907,3,3.0237157840738176
2025-06-10,Comcast,Altice,"Washington, DC",2,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-10,Comcast,Verizon,"Salisbury, MD",2,4.0,0.6666666666666666,0.5773502691896258,3,5.773502691896257
2025-06-10,Comcast,Verizon FWA,"Chicago, IL",2,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-10,Comcast,Altice,"Boston, MA",2,0.0,3.5,0.7071067811865476,2,-4.949747468305833
2025-06-10,Comcast,Service Electric,"Philadelphia, PA",2,4.0,1.0,1.0,3,3.0
2025-06-10,Comcast,Spectrum,"Washington, DC",2,8.0,3.0,1.5811388300841898,5,3.162277660168379
2025-06-10,Comcast,Frontier,"Chicago, IL",2,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-10,Comcast,CenturyLink,"Chicago, IL",2,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-10,Comcast,Frontier,"Boston, MA",2,0.0,1.6666666666666667,0.5773502691896257,3,-2.886751345948129
2025-06-10,Comcast,T-Mobile FWA,"Philadelphia, PA",2,13.0,3.5,2.3804761428476167,4,3.990798239479828
2025-06-10,Comcast,T-Mobile FWA,"Washington, DC",2,6.0,0.75,0.5,4,10.5
2025-06-10,Consolidated,Spectrum,"Portland-Auburn, ME",2,11.0,2.6666666666666665,2.0816659994661326,3,4.003203845127179
2025-06-10,Frontier,Spectrum,"Charleston-Huntington, WV",2,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-10,Frontier,Altice,"New York, NY",2,4.0,0.5,0.7071067811865476,2,4.949747468305833
2025-06-10,Google Fiber,T-Mobile FWA,"Kansas City, MO",2,0.0,1.6666666666666667,0.5773502691896258,3,-2.8867513459481287
2025-06-10,Great Plains Communications,Cox Communications,"Omaha, NE",2,0.0,1.6666666666666667,0.5773502691896257,3,-2.886751345948129
2025-06-10,Spectrum,Comcast,"Kansas City, MO",2,0.0,3.5,0.7071067811865476,2,-4.949747468305833
2025-06-10,Spectrum,Comcast,"Burlington, VT-Plattsburgh, NY",2,0.0,1.5,0.5773502691896257,4,-2.598076211353316
2025-06-10,Spectrum,Google Fiber,"Kansas City, MO",2,6.0,1.0,1.4142135623730951,2,3.5355339059327373
2025-06-10,Spectrum,Verizon FWA,"Cincinnati, OH",2,2.0,0.3333333333333333,0.5773502691896258,3,2.8867513459481287
2025-06-10,Spectrum,Comcast,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",2,9.0,2.3333333333333335,1.5275252316519468,3,4.364357804719847
2025-06-10,Spectrum,T-Mobile FWA,"Louisville, KY",2,5.0,1.0,1.4142135623730951,2,2.82842712474619
2025-06-10,Spectrum,Comcast,"Myrtle Beach-Florence, SC",2,8.0,0.5,0.7071067811865476,2,10.606601717798211
2025-06-10,Surf Internet,Comcast,"South Bend-Elkhart, IN",2,5.0,2.0,1.0,3,3.0
2025-06-10,T-Mobile FWA,Comcast,"Washington, DC",2,9.0,1.6666666666666667,1.1547005383792517,3,6.350852961085883
2025-06-10,T-Mobile FWA,Spectrum,"Chicago, IL",2,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-10,T-Mobile FWA,Comcast,"New York, NY",2,12.0,2.6666666666666665,1.5275252316519468,3,6.110100926607787
2025-06-10,T-Mobile FWA,Comcast,"St. Louis, MO",2,4.0,0.6666666666666666,0.5773502691896258,3,5.773502691896257
2025-06-10,T-Mobile FWA,Comcast,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",2,5.0,1.0,1.0,3,4.0
2025-06-10,Verizon,Spectrum,"Washington, DC",2,2.0,6.0,1.4142135623730951,2,-2.82842712474619
2025-06-10,Verizon,Spectrum,"Providence, RI-New Bedford, MA",2,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-10,Verizon,Comcast,"New York, NY",2,4.0,25.0,6.082762530298219,3,-3.452378733412503
2025-06-10,Verizon,Altice,"New York, NY",2,32.0,19.0,2.8284271247461903,2,4.596194077712559
2025-06-10,Verizon FWA,Altice,"New York, NY",2,8.0,3.0,1.4142135623730951,2,3.5355339059327373
2025-06-10,Verizon FWA,Spectrum,"New York, NY",2,3.0,1.4,0.5477225575051662,5,2.9211869733608857
2025-06-10,Verizon FWA,Comcast,"Portland, OR",2,1.0,3.5,0.7071067811865476,2,-3.5355339059327373
2025-06-10,Verizon FWA,Comcast,"Philadelphia, PA",2,7.0,1.5,1.0,4,5.5
2025-06-11,AT&T,Comcast,"Augusta, GA-Aiken, SC",3,1.0,3.5,0.7071067811865476,2,-3.5355339059327373
2025-06-11,AT&T,Comcast,"Memphis, TN",3,11.0,3.0,2.6457513110645907,3,3.0237157840738176
2025-06-11,Brightspeed,Comcast,"Tri-Cities, TN-VA",3,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-11,Comcast,Cable One,"Savannah, GA",3,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-11,Comcast,Frontier,"Boston, MA",3,1.0,2.6666666666666665,0.5773502691896258,3,-2.886751345948128
2025-06-11,Comcast,Consolidated,"Boston, MA",3,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-11,Comcast,Cox Communications,"Chicago, IL",3,9.0,3.5,0.7071067811865476,2,7.7781745930520225
2025-06-11,Comcast,Spectrum,"Augusta, GA-Aiken, SC",3,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-11,Comcast,AT&T,"Philadelphia, PA",3,5.0,0.6666666666666666,1.1547005383792517,3,3.7527767497325666
2025-06-11,Comcast,Atlantic Broadband,"Boston, MA",3,0.0,4.0,1.4142135623730951,2,-2.82842712474619
2025-06-11,Comcast,T-Mobile FWA,"Minneapolis-St. Paul, MN",3,6.0,1.5,0.7071067811865476,2,6.363961030678928
2025-06-11,Consolidated,Spectrum,"Portland-Auburn, ME",3,3.0,11.5,0.7071067811865476,2,-12.020815280171307
2025-06-11,Consolidated,Comcast,"Boston, MA",3,12.0,3.0,2.8284271247461903,2,3.181980515339464
2025-06-11,Google Fiber,Spectrum,"Kansas City, MO",3,2.0,8.333333333333334,0.5773502691896258,3,-10.969655114602888
2025-06-11,Spectrum,Comcast,"Minneapolis-St. Paul, MN",3,3.0,8.0,1.4142135623730951,2,-3.5355339059327373
2025-06-11,Spectrum,Comcast,"Yakima-Pasco-Richland-Kennewick, WA",3,3.0,0.6666666666666666,0.5773502691896258,3,4.04145188432738
2025-06-11,Spectrum,Comcast,"Myrtle Beach-Florence, SC",3,2.0,4.5,0.7071067811865476,2,-3.5355339059327373
